"feature_id","canonical_name","aliases","feature_family","plain_language_meaning","formula_or_algorithm","units","data_type","valid_domain","frequency","timestamp_convention","observation_key","raw_source_fields","preprocessing","window_and_warmup","lag_and_availability","missing_and_zero_behavior","normalization","sign_interpretation","producing_paths","hypothesis_ids","test_ids","leakage_or_survivorship_risk","verification_status"
"F-hf-option-quantity-imbalance-cum5-v1","option.quantity_imbalance_cum5.v1","none","option_book","Versioned control variable for the high-frequency construction freeze.","(sum bid quantity - sum ask quantity)/(sum bid + sum ask), over the registered depth.","dimensionless","float","[-1,+1]","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Positive means more displayed bid quantity.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-option-order-count-imbalance-cum5-v1","option.order_count_imbalance_cum5.v1","orders_imb_l5","option_book","Versioned control variable for the high-frequency construction freeze.","(sum bid order counts - sum ask order counts)/(sum bid + sum ask), over the registered depth.","dimensionless","float","[-1,+1]","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Positive means more visible bid-side resting orders.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-option-microprice-shift-l1-v1","option.microprice_shift_l1.v1","micro_shift_l1","option_book","Versioned local_adjustment variable for the high-frequency construction freeze.","Option L1 microprice minus displayed midpoint.","option price points","float","within half-spread","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Positive tilts above midpoint.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-option-essvi-leave-atm-residual-v2","option.essvi_leave_atm_residual.v2","surface_centered","option_surface","Versioned bounded_centering_revalidate variable for the high-frequency construction freeze.","Black-76 fair price from equal-weight ex-ATM eSSVI total-variance fit minus observed ATM midpoint.","option price points","float","real","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Positive means observed option is cheap to fitted surface.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-option-call-put-surface-residual-diff-v2","option.call_put_surface_residual_diff.v2","none","option_surface","Versioned core_passive_centering variable for the high-frequency construction freeze.","CE leave-ATM residual minus PE leave-ATM residual at the same strike and second.","option price points","float","real","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Positive means call relatively cheaper or put richer.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-005","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-option-surface-fit-converged-v2","option.surface_fit_converged.v2","none","option_surface_quality","Versioned gate variable for the high-frequency construction freeze.","Equal-weight nonlinear least squares in eSSVI total variance, ATM excluded, followed by static-arbitrage checks.","boolean","boolean","true|false","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Quality gate only.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-option-surface-static-arbitrage-passed-v2","option.surface_static_arbitrage_passed.v2","none","option_surface_quality","Versioned gate variable for the high-frequency construction freeze.","Equal-weight nonlinear least squares in eSSVI total variance, ATM excluded, followed by static-arbitrage checks.","boolean","boolean","true|false","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Quality gate only.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-liquidity-l1-total-quantity-v1","liquidity.l1_total_quantity.v1","lob__l1_total_quantity","liquidity","Versioned support variable for the high-frequency construction freeze.","Current L1 bid quantity plus current L1 ask quantity.","displayed contracts","float","[0,+infinity)","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Liquidity support, not direction.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-liquidity-log-l1-depth-v1","liquidity.log_l1_depth.v1","lob__log1p_l1_total_quantity","liquidity","Versioned support variable for the high-frequency construction freeze.","log(1+current L1 total displayed quantity).","log contracts","float","[0,+infinity)","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Liquidity support, not direction.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-007","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-liquidity-spread-ticks-v1","liquidity.spread_ticks.v1","lob__spread_ticks","liquidity","Versioned support variable for the high-frequency construction freeze.","(best ask-best bid)/0.05.","futures ticks","float","[0,+infinity)","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Cost/liquidity state, not direction.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-007","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-risk-midpoint-vol-10s-v2","risk.midpoint_vol_10s.v2","future_vol_10","risk","Versioned support_revalidate variable for the high-frequency construction freeze.","Population standard deviation of one-second midpoint point changes over the registered trailing window.","price points per one-second change","float","[0,+infinity)","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Risk magnitude, not direction.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-007","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-risk-midpoint-vol-30s-v2","risk.midpoint_vol_30s.v2","future_vol_30","risk","Versioned support_revalidate variable for the high-frequency construction freeze.","Population standard deviation of one-second midpoint point changes over the registered trailing window.","price points per one-second change","float","[0,+infinity)","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Risk magnitude, not direction.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-risk-option-midpoint-vol-10s-v2","risk.option_midpoint_vol_10s.v2","opt_vol_10","risk","Versioned support_revalidate variable for the high-frequency construction freeze.","Population standard deviation of one-second midpoint point changes over the registered trailing window.","price points per one-second change","float","[0,+infinity)","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Risk magnitude, not direction.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-risk-option-midpoint-vol-30s-v2","risk.option_midpoint_vol_30s.v2","opt_vol_30","risk","Versioned support_revalidate variable for the high-frequency construction freeze.","Population standard deviation of one-second midpoint point changes over the registered trailing window.","price points per one-second change","float","[0,+infinity)","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Risk magnitude, not direction.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-state-futures-vol30-rel-v1","state.futures_vol30_rel.v1","none","state","Versioned gate_support variable for the high-frequency construction freeze.","Current value classified against q33/q67 from prior 900 seconds, current excluded, minimum 120, same epoch.","categorical","categorical","low|mid|high","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Feature-specific support state.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-state-futures-spread-rel-v1","state.futures_spread_rel.v1","none","state","Versioned gate_support variable for the high-frequency construction freeze.","Current value classified against q33/q67 from prior 900 seconds, current excluded, minimum 120, same epoch.","categorical","categorical","low|mid|high","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Feature-specific support state.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-state-futures-l1-depth-rel-v1","state.futures_l1_depth_rel.v1","none","state","Versioned gate_support variable for the high-frequency construction freeze.","Current value classified against q33/q67 from prior 900 seconds, current excluded, minimum 120, same epoch.","categorical","categorical","low|mid|high","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Feature-specific support state.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-state-parity-noise-rel-v1","state.parity_noise_rel.v1","none","state","Versioned gate_support variable for the high-frequency construction freeze.","Current value classified against q33/q67 from prior 900 seconds, current excluded, minimum 120, same epoch.","categorical","categorical","low|mid|high","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Feature-specific support state.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-state-signal-strength-rel-v1","state.signal_strength_rel.v1","none","state","Versioned gate_support_parameterized variable for the high-frequency construction freeze.","Current value classified against q33/q67 from prior 900 seconds, current excluded, minimum 120, same epoch.","categorical","categorical","low|mid|high","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Feature-specific support state.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-state-trend-efficiency-10s-v1","state.trend_efficiency_10s.v1","none","state","Versioned gate_support variable for the high-frequency construction freeze.","abs(M_t-M_t-10)/sum of absolute one-second midpoint changes over the same complete path.","dimensionless","categorical","(0,1] or missing","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Low is choppy; high is trending.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-state-ist-clock-bucket-v1","state.ist_clock_bucket.v1","none","state","Versioned metadata variable for the high-frequency construction freeze.","Asia/Kolkata regular-session half-open time buckets.","categorical","categorical","open|morning|midday|late|close","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Support metadata only.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-state-calendar-dte-v1","state.calendar_dte.v1","none","state","Versioned metadata_no_gate variable for the high-frequency construction freeze.","Versioned deterministic calendar_dte construction.","feature-specific","categorical","feature-specific","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","See methodology; no unstated sign.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-gate-parity-highvol-tightspread-v1","gate.parity_highvol_tightspread.v1","none","gate","Versioned confidence variable for the high-frequency construction freeze.","Deterministic conjunction of the versioned causal states named by the gate.","boolean","boolean","0|1 or missing","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Confidence/routing support only.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
